Field,Label,Value
created,Created,2024-11-25T21:44:57.213096
description,Description,Honduras - HungerMap data long format
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/7b7720ce-864a-46e7-be41-cb6578351e8c/resource/2e47b741-068e-4bbe-b472-5a12bd325dc2/download/wfp-hungermap-data-for-hnd-long.csv
id,Resource ID,2e47b741-068e-4bbe-b472-5a12bd325dc2
last_modified,Updated,2025-05-01T12:30:27.117966
metadata_modified,Metadata Updated,2025-05-01T12:30:29.997732
microdata,Microdata,False
dataset_id,Dataset ID,7b7720ce-864a-46e7-be41-cb6578351e8c
resource_type,Resource Type,file.upload
name,Resource Name,wfp-hungermap-data-for-hnd-long.csv
mimetype,MIME Type,
size,Size,1.5M
